"AMOSTRAS","Quadrante","Count","Area","Total_Area","%Area","Perimetro","Major_E","Minor_E","Angle","Circularidade","Solidity","Feret","FeretX","Feret y","FeretAngle","MinFeret"
"BGM-0070","Q2","457","14.939124726477024","68.271799999999999","66.97","41.927","13.865","1.0666","85.891999999999996","0.88700000000000001","0.89500000000000002","14.961000000000002","497.96499999999997","497.92099999999999","95.566999999999993","1.1301000000000001"
"BGM-0070","Q3","392","10.613877551020408","41.606400000000001","41.4","33.729999999999997","11.27","9.42","82.38","0.94","0.9","12.25","496.01","507.65","95.2","9.75"
"BGM-0070","Q4","427","10.728618266978922","45.811199999999999","46.28","34.448999999999998","11.574","9.2720000000000002","88.492000000000004","0.92","0.89900000000000002","12.556999999999999","474.16199999999998","482.745","100.24299999999999","9.7170000000000005"
"BGM-0083","Q1","518","6.7455598455598453","34.942","94.62","27.762999999999998","98.54","7.0920000000000005","73.734999999999999","0.93100000000000005","0.89","10.96","191.24299999999999","191.83","102.776","7.5519999999999996"
"BGM-0083","Q2","545","14.204990825688073","77.417200000000008","80.62","40.302999999999997","14.547000000000001","1.0467","78.921000000000006","0.93700000000000006","0.88500000000000001","16.181999999999999","196.679","186.596","101.953","1.1133999999999999"
"BGM-0083","Q3","538","11.741226765799256","63.1678","66.92","34.204000000000001","12.510999999999999","9.3090000000000011","66.742000000000004","0.95699999999999996","0.9","14.016","205.27500000000001","183.51499999999999","105.19499999999999","9.7200000000000006"
"BGM-0083","Q4","465","10.93268817204301","50.837000000000003","51.48","34.155999999999999","12.509","9.3040000000000003","66.896000000000001","0.95499999999999996","0.89300000000000002","13.972","191.17","197.673","102.175","9.7050000000000001"
"BGM-0085","Q1","523","10.841300191204589","56.7","72.34","78.709999999999994","28.39","2.077","73.099999999999994","0.94199999999999995","0.89","31.68","212.47800000000001","200.56399999999999","108.202","2.198"
"BGM-0085","Q2","339","21.106194690265486","71.55","60.04","86.51","33.92","2.262","53.66","0.94099999999999995","0.90900000000000003","38.31","107.18300000000001","98.888000000000005","114.774","2.3769999999999998"
"BGM-0085","Q3","504","17.607142857142858","88.74","115.83","98.01","37.22","2.4210000000000003","60.04","0.92500000000000004","0.89700000000000002","42.14","99.028000000000006","97.831000000000003","114.532","2.6269999999999998"
"BGM-0085","Q4","564","14.296099290780141","80.63","120.73","94.36","35.76","2.3050000000000002","58.51","1","0.875","40.47","101.346","103.152","113.45099999999999","2.496"
"BGM-0093","Q1","268","49.792537313432838","13.344400000000002","86.215999999999994","13.678000000000001","27.44","1.718","29.45","0.90800000000000003","0.93200000000000005","32.17","98.995999999999995","398.43299999999999","125.015","1.859"
"BGM-0093","Q2","271","21.018450184501845","56.96","38.75","74.97","26.38","1.9739999999999998","71.62","0.94099999999999995","0.90100000000000002","29.36","251.358","234.49100000000001","99.641999999999996","2.0819999999999999"
"BGM-0093","Q3","132","20.216363636363635","26.685600000000001","86.215999999999994","28.669","32.159999999999997","2.3289999999999997","32.4","0.89800000000000002","0.93500000000000005","38.32","111.333","371.947","121.78400000000001","2.2679999999999998"
